Player,Team,Team within selected timeframe,Main Position,Position,League,Age,Market value,Contract expires,On loan,Minutes played,Passing Att,Creativity Att,Crossing Att,Dribbling Att,Shooting Att,Defending Att,Winger Rating,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Key passes per 90,xA per 90,Deep completions per 90,"Accurate crosses, %",Crosses per 90,"Successful dribbles, %",Dribbles per 90,Accelerations per 90,Non-penalty goals per 90,xG per 90,"Shots on target, %","Defensive duels won, %",Successful defensive actions per 90,Defensive duels per 90,"Aerial duels won, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90
C. Mahoney,Barrow,Barrow,AMF,"AMF, RW",England League Two 2025-26,29.0,300000,30/06/2026,no,1821,82.01,50.45,64.19,68.58,29.44,30.4,64.93,5.34,73.15,33.76,79.5,0.49,0.15,0.59,33.87,3.06,64.81,2.67,0.25,0.05,0.07,36.36,48.48,5.24,3.26,37.5,1.19,0.64,0.0,0.0,1.38
G. McCleary,Gillingham,Gillingham,RAMF,"RAMF, CF, AMF",England League Two 2025-26,38.0,75000,30/06/2026,no,1404,63.68,63.37,82.53,70.01,43.11,26.98,64.91,4.42,78.26,28.33,71.72,0.58,0.12,1.22,36.0,4.81,57.63,3.78,0.38,0.13,0.07,47.06,54.76,3.14,2.69,43.9,2.63,0.0,0.0,0.0,0.13
M. Holíček,Crewe Alexandra,Crewe Alexandra,AMF,AMF,England League Two 2025-26,21.0,0,30/06/2027,no,2231,64.11,39.42,51.66,67.1,41.89,80.93,64.55,3.91,63.92,26.87,80.03,0.36,0.08,0.73,37.93,1.17,68.18,1.77,0.24,0.12,0.15,33.33,67.9,7.14,6.54,31.53,4.48,0.04,0.0,0.0,0.04
L. Hannant,Oldham Athletic,Oldham Athletic,LW,"LW, LAMF",England League Two 2025-26,32.0,0,30/06/2027,no,1404,71.76,45.53,74.47,61.78,40.39,47.34,64.24,7.37,69.57,30.58,68.97,0.45,0.08,0.83,41.18,3.27,57.14,1.79,0.45,0.0,0.23,40.0,58.82,5.77,3.27,46.15,3.33,0.06,0.0,0.0,0.06
T. O'Reilly,Crewe Alexandra,Crewe Alexandra,RAMF,"RAMF, AMF",England League Two 2025-26,22.0,0,,yes,3724,53.27,61.38,64.85,70.48,41.17,60.22,64.19,4.21,72.41,24.34,70.11,0.56,0.21,0.65,29.61,3.67,52.48,5.85,0.12,0.15,0.12,31.25,55.56,6.4,6.53,15.28,3.48,0.77,0.1,0.0,1.4
C. Ashia,Huddersfield Town U21,Huddersfield Town,LAMF,"LAMF, LWB, AMF",England League One 2025-26,19.0,0,,no,803,45.18,57.34,55.78,78.99,73.12,57.11,63.96,2.8,80.0,20.06,70.39,0.56,0.15,0.78,20.59,3.81,49.09,6.16,0.67,0.34,0.17,47.37,54.55,6.39,6.16,18.75,1.79,0.0,0.0,0.0,0.22
Junior Quitirna,Wycombe Wanderers,Wycombe Wanderers,RAMF,"RAMF, RW",England League One 2025-26,25.0,0,,no,1607,60.87,40.93,41.38,76.97,62.85,65.46,63.8,3.64,73.85,23.97,78.27,0.28,0.09,0.95,22.22,2.02,65.48,4.7,0.17,0.34,0.2,22.86,60.36,6.38,6.22,27.27,1.85,0.0,0.0,0.0,0.0
K. Dempsey,Bolton Wanderers,Bolton Wanderers,AMF,"AMF, LDMF",England League One 2025-26,30.0,600000,30/06/2026,no,1484,70.38,49.73,60.13,39.05,47.53,68.92,63.45,4.12,67.65,29.23,80.71,0.3,0.18,0.85,45.0,1.21,41.18,1.03,0.12,0.18,0.19,25.93,61.11,7.64,5.46,54.17,4.37,0.18,0.06,0.0,2.06
R. Curtis,Plymouth Argyle,Plymouth Argyle,RW,"RW, CF",England League One 2025-26,30.0,200000,30/06/2028,no,2492,46.58,81.79,71.3,54.96,49.97,48.0,63.25,5.45,69.54,24.7,60.96,0.65,0.34,0.76,34.29,3.79,52.63,2.74,0.04,0.11,0.25,33.9,54.96,5.67,4.73,46.18,9.93,1.55,0.18,20.0,4.3
A. Dobra,Chesterfield,Chesterfield,LAMF,"LAMF, AMF, LW",England League Two 2025-26,24.0,0,30/12/2028,no,1889,68.24,33.95,45.02,67.69,59.7,62.34,62.13,3.0,77.78,28.63,80.03,0.24,0.05,0.91,27.78,1.72,47.57,4.91,0.43,0.24,0.26,25.93,57.58,6.48,6.29,9.09,2.1,0.0,0.0,0.0,0.29
A. Phillips,Barnsley,Barnsley,AMF,"AMF, RAMF, RDMF",England League One 2025-26,28.0,500000,30/06/2026,no,2707,85.04,45.58,53.73,53.62,42.05,32.85,62.03,5.79,76.44,37.0,75.83,0.37,0.08,1.03,28.95,2.53,61.54,0.86,0.03,0.17,0.11,30.77,52.33,4.99,2.86,42.86,5.35,0.13,0.0,0.0,0.33
R. Cleary,Barnsley,Barnsley,LAMF,"LAMF, LW",England League One 2025-26,21.0,0,30/06/2028,no,2343,21.82,87.51,81.11,77.68,55.8,48.91,61.27,3.57,65.59,18.28,55.04,0.96,0.25,0.81,29.37,5.49,55.88,6.53,0.19,0.23,0.13,42.11,57.89,4.61,5.11,18.52,1.04,0.0,0.0,0.0,0.15
E. Sutton,Harrogate Town,Harrogate Town,LAMF,"LAMF, LW, RWB",England League Two 2025-26,19.0,0,31/05/2026,yes,456,45.49,47.0,62.09,67.46,56.95,77.33,61.17,5.53,75.0,20.92,62.26,0.59,0.04,0.79,31.25,3.16,36.11,7.11,0.39,0.2,0.13,50.0,70.0,6.32,5.92,28.57,1.38,0.0,0.0,0.0,0.0
T. Brenan,Harrogate Town,Harrogate Town,AMF,"AMF, RCMF",England League Two 2025-26,19.0,0,30/06/2028,yes,858,74.8,33.09,60.59,55.07,50.29,53.41,60.75,4.2,57.5,36.29,79.48,0.42,0.05,0.42,50.0,0.63,53.33,1.57,0.31,0.31,0.09,23.08,59.52,5.77,4.41,32.14,2.94,0.0,0.0,0.0,0.0
J. Koroma,Leyton Orient,Leyton Orient,RAMF,"RAMF, RWF",England League One 2025-26,27.0,1500000,30/06/2028,no,1456,40.94,64.61,60.02,62.6,44.41,75.24,60.59,2.6,76.19,21.57,67.05,0.49,0.2,1.05,30.0,3.09,50.0,3.59,0.37,0.19,0.09,34.78,73.68,5.93,4.7,31.46,5.5,0.19,0.06,0.0,0.06
S. Forde,Bristol Rovers,Bristol Rovers,AMF,"AMF, RWF",England League Two 2025-26,21.0,0,30/06/2027,no,1536,45.41,69.64,51.81,69.21,53.58,52.02,60.51,4.1,72.86,23.26,64.99,0.76,0.17,0.82,25.53,2.75,60.87,4.04,0.12,0.18,0.17,40.74,52.88,5.86,6.09,23.86,5.16,0.0,0.0,0.0,0.18
P. Ehibhatiomhan,Salford City,Salford City,LW,"LW, CF, AMF",England League Two 2025-26,20.0,0,30/06/2026,yes,759,36.64,79.72,72.2,57.17,48.13,57.3,60.28,3.91,63.64,20.99,63.84,0.95,0.2,0.71,43.48,2.73,40.0,4.74,0.24,0.12,0.2,36.84,61.9,5.34,4.98,33.33,4.27,0.0,0.0,0.0,0.0
T. Tuterov,Exeter City,Exeter City,AMF,"AMF, LW, LAMF",England League One 2025-26,20.0,0,30/06/2027,yes,708,44.24,67.42,51.82,68.07,54.38,56.44,60.14,2.03,81.25,16.65,75.57,0.76,0.16,0.76,31.25,2.03,64.0,3.18,0.13,0.25,0.18,27.27,60.98,5.21,5.21,28.57,2.67,0.0,0.0,0.0,0.0
J. Obiora Amaluzor,Grimsby Town,Grimsby Town,RW,"RW, CF",England League Two 2025-26,29.0,0,30/06/2027,no,1120,46.57,64.44,60.53,75.95,47.89,46.13,60.07,4.34,72.22,22.42,66.31,0.56,0.17,1.04,40.91,1.77,60.0,3.62,0.64,0.16,0.19,30.43,56.36,5.14,4.42,49.18,4.9,0.0,0.0,0.0,0.16
